speaker,time,row_index
CA1HA_87,350.7207,661
CA1HA_87,351.2016,662
CA1HA_87,351.2616,663
CA1HA_87,351.3566,664
CA1HA_87,351.4266,665
CA1HA_87,351.4566,666
CA1HA_87,351.4916,667
CA1HA_87,351.5366,668
CA1HA_87,351.5916,669
CA1HA_87,351.6616,670
CA1HA_87,351.7216,671
CA1HA_87,351.7516,672
CA1HA_87,351.7816,673
CA1HA_87,351.8016,674
CA1HA_87,351.8216,675
CA1HA_87,351.8616,676
CA1HA_87,351.9316,677
CA1HA_87,352.0116,678
CA1HA_87,352.1166,679
CA1HA_87,352.2016,680
CA1HA_87,352.2466,681
CA1HA_87,352.3216,682
CA1HA_87,352.3816,683
CA1HA_87,352.4166,684
CA1HA_87,352.4516,685
CA1HA_87,352.5166,686
CA1HA_87,352.5816,687
CA1HA_87,352.6116,688
CA1HA_87,352.6416,689
CA1HA_87,352.7016,690
CA1HA_87,352.7616,691
CA1HA_87,352.9216,692
CA1HA_87,353.1016,693
CA1HA_87,353.5856,694
CA1HA_87,353.9056,695
CA1HA_87,354.8354,696
CA1HA_87,354.9204,697
CA1HA_87,355.0004,698
CA1HA_87,355.0804,699
CA1HA_87,355.1404,700
CA1HA_87,355.1754,701
CA1HA_87,359.0916,702
CA1HA_87,359.1366,703
CA1HA_87,359.2116,704
CA1HA_87,359.2766,705
CA1HA_87,359.3666,706
CA1HA_87,359.5216,707
CA1HA_87,359.6466,708
CA1HA_87,359.7316,709
CA1HA_87,359.8216,710
CA1HA_87,359.8966,711
CA1HA_87,359.9866,712
CA1HA_87,360.0566,713
CA1HA_87,360.1266,714
CA1HA_87,361.0864,715
CA1HA_87,361.1314,716
CA1HA_87,361.1614,717
CA1HA_87,361.1914,718
CA1HA_87,361.2314,719
CA1HA_87,361.2614,720
CA1HA_87,361.2814,721
CA1HA_87,361.3164,722
CA1HA_87,361.3864,723
CA1HA_87,361.4514,724
CA1HA_87,361.4814,725
CA1HA_87,361.5114,726
CA1HA_87,361.5464,727
CA1HA_87,361.5964,728
CA1HA_87,361.6614,729
CA1HA_87,361.7114,730
CA1HA_87,361.7564,731
CA1HA_87,361.8364,732
CA1HA_87,361.9364,733
CA1HA_87,362.1464,734
CA1HA_87,363.3248,735
CA1HA_87,363.3848,736
CA1HA_87,363.4298,737
CA1HA_87,363.4598,738
CA1HA_87,363.4898,739
CA1HA_87,363.5198,740
CA1HA_87,363.5698,741
CA1HA_87,363.6298,742
CA1HA_87,363.6848,743
CA1HA_87,363.7398,744
CA1HA_87,363.7798,745
CA1HA_87,363.8148,746
CA1HA_87,363.8498,747
CA1HA_87,363.8898,748
CA1HA_87,363.9348,749
CA1HA_87,363.9748,750
CA1HA_87,364.0348,751
