speaker,time,row_index,formant_1,formant_2,formant_3,pitchValue,intensityValue
CA1HA_87,379.4691,938,0,0,0,0,0
CA1HA_87,379.5141,939,0,0,0,0,0
CA1HA_87,379.56910000000005,940,0,0,0,0,0
CA1HA_87,379.6241,941,0,0,0,0,0
CA1HA_87,379.6691,942,0,0,0,0,0
CA1HA_87,379.7191,943,0,0,0,0,0
CA1HA_87,379.77909999999997,944,0,0,0,0,0
CA1HA_87,379.82910000000004,945,0,0,0,0,0
CA1HA_87,379.8691,946,0,0,0,0,0
CA1HA_87,379.8991,947,0,0,0,0,0
CA1HA_87,379.96410000000003,948,0,0,0,0,0
CA1HA_87,380.0641,949,0,0,0,0,0
CA1HA_87,380.1291,950,0,0,0,0,0
CA1HA_87,380.1991,951,0,0,0,0,0
CA1HA_87,380.2691,952,0,0,0,0,0
CA1HA_87,380.3091,953,0,0,0,0,0
CA1HA_87,380.5041,954,0,0,0,0,0
CA1HA_87,380.71410000000003,955,0,0,0,0,0
CA1HA_87,380.7691,956,0,0,0,0,0
CA1HA_87,380.7941,957,0,0,0,0,0
CA1HA_87,380.8191,958,0,0,0,0,0
CA1HA_87,380.8491,959,0,0,0,0,0
CA1HA_87,380.8941,960,0,0,0,0,0
CA1HA_87,380.95910000000003,961,0,0,0,0,0
CA1HA_87,381.0091,962,0,0,0,0,0
CA1HA_87,381.03909999999996,963,0,0,0,0,0
CA1HA_87,381.08910000000003,964,0,0,0,0,0
CA1HA_87,381.1391,965,0,0,0,0,0
CA1HA_87,381.1691,966,0,0,0,0,0
CA1HA_87,381.1991,967,0,0,0,0,0
CA1HA_87,381.2291,968,0,0,0,0,0
CA1HA_87,381.2641,969,0,0,0,0,0
CA1HA_87,381.3091,970,0,0,0,0,0
CA1HA_87,381.3491,971,0,0,0,0,0
CA1HA_87,381.4191,972,0,0,0,0,0
CA1HA_87,381.5241,973,0,0,0,0,0
CA1HA_87,381.6341,974,0,0,0,0,0
CA1HA_87,382.24519999999995,975,0,0,0,0,0
CA1HA_87,382.3052,976,0,0,0,0,0
CA1HA_87,382.49519999999995,977,0,0,0,0,0
CA1HA_87,382.7202,978,0,0,0,0,0
CA1HA_87,382.8152,979,0,0,0,0,0
CA1HA_87,382.8502,980,0,0,0,0,0
CA1HA_87,382.89520000000005,981,0,0,0,0,0
CA1HA_87,382.9402,982,0,0,0,0,0
CA1HA_87,383.1843,983,0,0,0,0,0
CA1HA_87,383.2493,984,0,0,0,0,0
CA1HA_87,383.2993,985,0,0,0,0,0
CA1HA_87,383.3443,986,0,0,0,0,0
